strategy,pair,params,train_n_trades,train_net_return,train_sharpe,train_profit_factor,train_max_drawdown,train_win_rate,train_cost_ratio,validation_n_trades,validation_net_return,validation_sharpe,validation_profit_factor,validation_max_drawdown,validation_win_rate,validation_cost_ratio
trend_ema_adx,USDJPY,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",656,-0.088754,-0.128509,0.937673,-0.227477,0.315549,2.111911,252,-0.020099,-0.06074,0.968017,-0.09898,0.281746,1.026027
trend_ema_adx,USDJPY,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",430,-0.135064,-0.301997,0.857455,-0.204012,0.327907,,133,0.002925,0.044551,1.008802,-0.093396,0.308271,0.72346
trend_ema_adx,USDJPY,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",493,-0.211599,-0.431785,0.795081,-0.289475,0.298174,,185,0.028287,0.187713,1.060663,-0.07021,0.297297,0.46043
trend_ema_adx,USDJPY,"{""adx_min"": 20, ""fast"": 20, ""slow"": 200}",366,-0.291908,-0.887923,0.626125,-0.317801,0.29235,,120,-0.005259,-0.016424,0.981298,-0.062942,0.316667,0.869399
trend_ema_adx,USDJPY,"{""adx_min"": 0, ""fast"": 50, ""slow"": 100}",459,-0.117128,-0.23872,0.88695,-0.260925,0.313725,,176,0.0593,0.348285,1.13229,-0.082145,0.335227,0.353324
trend_ema_adx,USDJPY,"{""adx_min"": 20, ""fast"": 50, ""slow"": 100}",356,-0.168064,-0.436507,0.796019,-0.232043,0.317416,,124,0.052607,0.359231,1.179785,-0.06144,0.379032,0.295262
trend_ema_adx,USDJPY,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",340,-0.229265,-0.67837,0.707142,-0.264037,0.273529,,119,0.147897,0.8996,1.461428,-0.055928,0.361345,0.140098
trend_ema_adx,USDJPY,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",275,-0.210366,-0.690032,0.674536,-0.268251,0.287273,,94,0.106405,0.735858,1.430889,-0.051972,0.361702,0.148686
trend_ema_adx,EURUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",705,-0.106597,-0.179299,0.932096,-0.312625,0.329078,6.678978,210,0.128264,0.709819,1.237586,-0.079846,0.352381,0.213483
trend_ema_adx,EURUSD,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",488,-0.095112,-0.19605,0.91766,-0.195244,0.321721,,131,-0.044919,-0.322743,0.865961,-0.108818,0.320611,
trend_ema_adx,EURUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",461,0.261583,0.513932,1.224412,-0.110442,0.373102,0.184298,152,0.099659,0.603724,1.263867,-0.056917,0.348684,0.202515
trend_ema_adx,EURUSD,"{""adx_min"": 20, ""fast"": 20, ""slow"": 200}",364,0.111102,0.277916,1.126279,-0.095247,0.365385,0.269743,105,0.055156,0.433729,1.199836,-0.05997,0.333333,0.233967
trend_ema_adx,EURUSD,"{""adx_min"": 0, ""fast"": 50, ""slow"": 100}",444,-0.053497,-0.098163,0.947737,-0.146883,0.342342,2.643588,132,0.095185,0.615532,1.285335,-0.054314,0.356061,0.189245
trend_ema_adx,EURUSD,"{""adx_min"": 20, ""fast"": 50, ""slow"": 100}",352,-0.071552,-0.162672,0.916217,-0.136595,0.340909,,100,0.075366,0.566084,1.294464,-0.053526,0.36,0.179446
trend_ema_adx,EURUSD,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",298,0.071222,0.19927,1.090323,-0.059611,0.342282,0.325036,112,-0.036412,-0.280288,0.890668,-0.085222,0.303571,
trend_ema_adx,EURUSD,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",260,0.035493,0.120453,1.055486,-0.08888,0.35,0.412329,88,-0.043188,-0.38179,0.831456,-0.097205,0.272727,
trend_ema_adx,EURJPY,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",720,0.098829,0.194999,1.067584,-0.174352,0.316667,0.424025,247,0.063428,0.313084,1.055056,-0.15695,0.291498,0.46721
trend_ema_adx,EURJPY,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",456,0.015166,0.058303,1.013053,-0.173136,0.320175,0.658761,155,-0.05018,-0.301705,0.874938,-0.132108,0.283871,
trend_ema_adx,EURJPY,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",467,-0.099743,-0.197272,0.916551,-0.230235,0.304069,,184,-0.055873,-0.30143,0.885516,-0.11535,0.309783,
trend_ema_adx,EURJPY,"{""adx_min"": 20, ""fast"": 20, ""slow"": 200}",345,-0.037129,-0.071016,0.958194,-0.173344,0.298551,1.600333,132,-0.086301,-0.618126,0.740588,-0.103567,0.295455,
trend_ema_adx,EURJPY,"{""adx_min"": 0, ""fast"": 50, ""slow"": 100}",426,-0.026107,-0.032601,0.974753,-0.16824,0.328638,1.070164,149,-0.008597,-0.03223,0.977596,-0.055689,0.348993,0.891378
trend_ema_adx,EURJPY,"{""adx_min"": 20, ""fast"": 50, ""slow"": 100}",295,0.044022,0.133277,1.061519,-0.11441,0.352542,0.43987,113,-0.024879,-0.166897,0.917488,-0.080387,0.327434,3.291411
trend_ema_adx,EURJPY,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",335,-0.063552,-0.135654,0.928993,-0.159157,0.301493,12.703575,117,-0.044992,-0.299161,0.860674,-0.067875,0.307692,
trend_ema_adx,EURJPY,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",270,0.013312,0.055419,1.018026,-0.104521,0.314815,0.623132,81,-0.046731,-0.384193,0.793764,-0.080757,0.308642,
trend_ema_adx,GBPUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",688,-0.180106,-0.339161,0.879437,-0.235322,0.305233,,247,-0.09878,-0.534574,0.84248,-0.191596,0.275304,
trend_ema_adx,GBPUSD,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",470,-0.084708,-0.172172,0.921397,-0.208058,0.310638,3.953482,151,-0.099937,-0.717442,0.739473,-0.122786,0.271523,
trend_ema_adx,GBPUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",516,-0.151528,-0.320242,0.872971,-0.222948,0.310078,,172,-0.057851,-0.357377,0.866255,-0.157167,0.27907,
trend_ema_adx,GBPUSD,"{""adx_min"": 20, ""fast"": 20, ""slow"": 200}",389,-0.159236,-0.411498,0.823834,-0.203154,0.311054,,110,-0.045176,-0.331453,0.839253,-0.147529,0.254545,
trend_ema_adx,GBPUSD,"{""adx_min"": 0, ""fast"": 50, ""slow"": 100}",461,-0.266129,-0.70673,0.730874,-0.296471,0.301518,,164,-0.014172,-0.062007,0.965943,-0.136219,0.292683,1.215695
trend_ema_adx,GBPUSD,"{""adx_min"": 20, ""fast"": 50, ""slow"": 100}",371,-0.219514,-0.634338,0.732905,-0.239246,0.309973,,123,-0.037804,-0.246001,0.882951,-0.119784,0.276423,
trend_ema_adx,GBPUSD,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",344,-0.113091,-0.304515,0.858679,-0.160037,0.325581,,108,0.038496,0.314415,1.147575,-0.082892,0.361111,0.31802
trend_ema_adx,GBPUSD,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",260,-0.115826,-0.382148,0.812509,-0.172386,0.315385,,77,-0.009449,-0.075846,0.947031,-0.079445,0.337662,1.583295
trend_ema_adx,AUDUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",743,-0.023164,-0.007283,0.987913,-0.221757,0.323015,0.920424,246,-0.032903,-0.136602,0.950829,-0.159465,0.304878,1.333785
trend_ema_adx,AUDUSD,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",487,-0.076583,-0.145367,0.938155,-0.199437,0.320329,1.775412,153,-0.014432,-0.066453,0.965161,-0.149513,0.30719,1.099562
trend_ema_adx,AUDUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",546,-0.002909,0.022622,0.997856,-0.116407,0.29304,0.839001,188,0.057493,0.340365,1.1078,-0.124515,0.271277,0.455965
trend_ema_adx,AUDUSD,"{""adx_min"": 20, ""fast"": 20, ""slow"": 200}",370,-0.025987,-0.039125,0.97077,-0.146651,0.294595,1.103991,124,-0.023947,-0.148843,0.931186,-0.127542,0.25,1.898392
trend_ema_adx,AUDUSD,"{""adx_min"": 0, ""fast"": 50, ""slow"": 100}",479,-0.058046,-0.101235,0.950783,-0.175227,0.304802,1.463801,157,0.105488,0.626689,1.257891,-0.047872,0.33121,0.316281
trend_ema_adx,AUDUSD,"{""adx_min"": 20, ""fast"": 50, ""slow"": 100}",365,-0.02117,-0.028519,0.976795,-0.146795,0.29863,1.012936,124,0.03121,0.236564,1.093861,-0.084101,0.290323,0.506759
trend_ema_adx,AUDUSD,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",350,-0.030279,-0.05374,0.965977,-0.132833,0.311429,1.130937,108,0.076131,0.536691,1.256239,-0.09038,0.398148,0.28877
trend_ema_adx,AUDUSD,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",286,-0.001183,0.017058,0.99835,-0.104039,0.314685,0.79798,86,0.029091,0.252734,1.123049,-0.109273,0.372093,0.43035
trend_donchian,USDJPY,"{""n"": 48, ""sl_atr"": 3.0}",817,0.039748,0.094147,1.026839,-0.23694,0.339045,0.474182,266,0.0756,0.353379,1.084942,-0.078914,0.323308,0.28531
trend_donchian,USDJPY,"{""n"": 48, ""sl_atr"": 5.0}",765,-0.030852,-0.048961,0.97991,-0.172158,0.372549,0.812116,245,0.048129,0.353853,1.093652,-0.058702,0.355102,0.230446
trend_donchian,USDJPY,"{""n"": 120, ""sl_atr"": 3.0}",418,0.084907,0.159363,1.068627,-0.158694,0.246411,0.290554,143,-0.08815,-0.380884,0.768809,-0.14147,0.251748,
trend_donchian,USDJPY,"{""n"": 120, ""sl_atr"": 5.0}",360,0.010424,0.047957,1.01989,-0.107626,0.302778,0.339099,126,-0.055766,-0.387975,0.779614,-0.09194,0.293651,
trend_donchian,USDJPY,"{""n"": 240, ""sl_atr"": 3.0}",243,0.143466,0.243709,1.155156,-0.137807,0.201646,0.158126,96,-0.195424,-1.079636,0.403116,-0.24842,0.177083,
trend_donchian,USDJPY,"{""n"": 240, ""sl_atr"": 5.0}",207,0.020994,0.073795,1.038465,-0.108584,0.246377,0.24782,75,-0.119815,-0.999412,0.452427,-0.14837,0.226667,
trend_donchian,EURUSD,"{""n"": 48, ""sl_atr"": 3.0}",834,-0.280988,-0.497643,0.852655,-0.336773,0.31295,,264,0.112779,0.539144,1.154694,-0.110535,0.371212,0.196812
trend_donchian,EURUSD,"{""n"": 48, ""sl_atr"": 5.0}",782,-0.240041,-0.685409,0.811655,-0.293408,0.342711,,244,0.062718,0.476056,1.147645,-0.073093,0.422131,0.169074
trend_donchian,EURUSD,"{""n"": 120, ""sl_atr"": 3.0}",422,-0.204501,-0.375371,0.836543,-0.244218,0.272512,,145,-0.021299,-0.07622,0.953002,-0.090233,0.282759,1.110238
trend_donchian,EURUSD,"{""n"": 120, ""sl_atr"": 5.0}",371,-0.145688,-0.426368,0.81593,-0.15758,0.331536,,125,-0.022013,-0.15931,0.921615,-0.071107,0.336,43.694304
trend_donchian,EURUSD,"{""n"": 240, ""sl_atr"": 3.0}",232,0.00963,0.048187,1.011757,-0.175016,0.232759,0.286199,90,-0.067863,-0.33432,0.79866,-0.103779,0.188889,
trend_donchian,EURUSD,"{""n"": 240, ""sl_atr"": 5.0}",200,-0.029643,-0.06865,0.943838,-0.111016,0.295,1.007861,73,-0.050988,-0.395078,0.775513,-0.067388,0.232877,
trend_donchian,EURJPY,"{""n"": 48, ""sl_atr"": 3.0}",790,0.200058,0.322357,1.104712,-0.118916,0.350633,0.260219,271,0.066388,0.314244,1.061526,-0.095727,0.328413,0.358389
trend_donchian,EURJPY,"{""n"": 48, ""sl_atr"": 5.0}",741,0.105388,0.283171,1.097425,-0.07995,0.388664,0.234978,256,0.022911,0.182166,1.023383,-0.075037,0.363281,0.411148
trend_donchian,EURJPY,"{""n"": 120, ""sl_atr"": 3.0}",391,0.234955,0.371652,1.170071,-0.178946,0.29156,0.159443,141,-0.066482,-0.290025,0.834573,-0.137474,0.283688,
trend_donchian,EURJPY,"{""n"": 120, ""sl_atr"": 5.0}",336,0.181842,0.446384,1.227883,-0.095393,0.360119,0.101211,130,-0.083094,-0.628399,0.714272,-0.118718,0.330769,
trend_donchian,EURJPY,"{""n"": 240, ""sl_atr"": 3.0}",235,0.132566,0.247388,1.155816,-0.14593,0.234043,0.145461,77,0.011112,0.086684,1.020586,-0.119723,0.233766,0.325986
trend_donchian,EURJPY,"{""n"": 240, ""sl_atr"": 5.0}",201,0.026648,0.094171,1.052403,-0.099827,0.293532,0.199005,66,-0.021942,-0.15932,0.869826,-0.07929,0.272727,
