pair,seed,sharpe,net_return,profit_factor,n_trades,cost_ratio
AUDUSD,0,-0.574857,-0.227918,0.857652,700,
AUDUSD,1,-1.027023,-0.363745,0.751783,662,
AUDUSD,2,-0.409711,-0.170073,0.893836,708,9.006288
AUDUSD,3,-0.536228,-0.217861,0.851895,705,
AUDUSD,4,-0.986043,-0.360978,0.76238,691,
AUDUSD,5,-0.399237,-0.169941,0.89977,740,4.598025
AUDUSD,6,0.199834,0.081742,1.049489,683,0.662045
AUDUSD,7,-0.821843,-0.313554,0.796131,693,
AUDUSD,8,-0.606305,-0.241982,0.839149,705,
AUDUSD,9,-0.643627,-0.250896,0.843356,709,
EURJPY,0,-0.646808,-0.252756,0.817739,675,
EURJPY,1,-0.139377,-0.067476,0.957202,717,1.769122
EURJPY,2,-0.089402,-0.046029,0.97183,700,1.329894
EURJPY,3,-0.759999,-0.272271,0.787665,638,
EURJPY,4,-0.688198,-0.255494,0.826329,656,
EURJPY,5,-1.028844,-0.361148,0.758377,699,
EURJPY,6,-0.551287,-0.214739,0.860138,699,
EURJPY,7,0.029478,0.000514,1.000345,671,0.902633
EURJPY,8,-0.647525,-0.251888,0.836015,702,
EURJPY,9,-0.209683,-0.089971,0.938391,639,3.732141
EURUSD,0,-0.171261,-0.080594,0.948886,721,3.591878
EURUSD,1,-0.272339,-0.122478,0.930483,739,52.218146
EURUSD,2,0.013072,-0.002081,0.998646,669,0.879311
EURUSD,3,-0.688153,-0.258338,0.827653,672,
EURUSD,4,-0.49696,-0.195596,0.87429,691,
EURUSD,5,-0.358207,-0.145216,0.903732,674,
EURUSD,6,0.006101,-0.005269,0.996652,696,0.907136
EURUSD,7,-0.192692,-0.086231,0.943232,679,4.997852
EURUSD,8,-0.100408,-0.050968,0.967592,715,1.642651
EURUSD,9,-0.719058,-0.263692,0.82241,698,
GBPUSD,0,-0.81461,-0.292441,0.808856,686,
GBPUSD,1,-0.122508,-0.056991,0.962537,699,1.443889
GBPUSD,2,-0.853087,-0.307277,0.790588,673,
GBPUSD,3,-0.370548,-0.156237,0.90663,708,19.314168
GBPUSD,4,-0.396795,-0.159855,0.892371,689,
GBPUSD,5,-0.809668,-0.295185,0.793328,673,
GBPUSD,6,0.024755,0.002735,1.001595,734,0.876988
GBPUSD,7,0.018412,0.000542,1.000368,675,0.918366
GBPUSD,8,-0.029294,-0.019608,0.986661,680,1.061809
GBPUSD,9,-0.449246,-0.181168,0.880883,707,
USDJPY,0,-0.805573,-0.297308,0.789439,675,
USDJPY,1,-0.821556,-0.30629,0.800501,719,
USDJPY,2,-0.510534,-0.202146,0.871385,698,
USDJPY,3,-0.307096,-0.126446,0.913357,654,15.383532
USDJPY,4,-0.118432,-0.055205,0.961106,666,1.516575
USDJPY,5,-0.057386,-0.033083,0.978935,692,1.142375
USDJPY,6,-0.469554,-0.18997,0.879759,706,
USDJPY,7,-0.597975,-0.229409,0.830888,653,
USDJPY,8,-0.559417,-0.222071,0.85739,715,
USDJPY,9,-0.457966,-0.179621,0.86372,643,
