strategy,family,pair,final_params,wf_trades,wf_net_return,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_positive_year_ratio,wf_max_single_year_share,wf_param_changes,train_sharpe,val_sharpe,val_profit_factor,val_trades,val_max_drawdown,wf_psr,wf_dsr,n_trials,gate_A,gate_A_fail
trend_ema_adx,A_trend,USDJPY,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",507,0.02828,0.003494,0.087575,1.021926,-0.134811,0.625,0.3350276791843769,3,-0.128509,-0.06074,0.968017,252,-0.09898,0.598154,0.0019,190,False,wf_profit_factor;wf_sharpe;val_profit_factor
trend_ema_adx,A_trend,EURUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",452,0.144658,0.017043,0.338882,1.132539,-0.105446,0.5,0.42694381465886794,3,0.513932,0.603724,1.263867,152,-0.056917,0.83615,0.0132,190,False,wf_positive_years
trend_ema_adx,A_trend,EURJPY,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",472,-0.010102,-0.001269,0.005756,0.988581,-0.168974,0.5,0.5412661494012684,4,0.194999,0.313084,1.055056,247,-0.15695,0.506491,0.0009,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share
trend_ema_adx,A_trend,GBPUSD,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",369,-0.107575,-0.014136,-0.294009,0.872429,-0.158924,0.375,0.5132219934984492,4,-0.172172,-0.717442,0.739473,151,-0.122786,0.208092,0.0001,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
trend_ema_adx,A_trend,AUDUSD,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",402,-0.143937,-0.019252,-0.354663,0.839622,-0.189159,0.25,0.633662081494939,5,0.022622,0.340365,1.1078,188,-0.124515,0.161976,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share
trend_donchian,A_trend,USDJPY,"{""n"": 240, ""sl_atr"": 3.0}",462,0.282859,0.031648,0.439304,1.193477,-0.080832,0.625,0.3908964643387997,2,0.243709,-1.079636,0.403116,96,-0.24842,0.89669,0.026,190,False,val_profit_factor
trend_donchian,A_trend,EURUSD,"{""n"": 240, ""sl_atr"": 3.0}",371,-0.074693,-0.009663,-0.127566,0.897783,-0.181113,0.25,0.676381054704987,4,0.048187,-0.33432,0.79866,90,-0.103779,0.35965,0.0002,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
trend_donchian,A_trend,EURJPY,"{""n"": 120, ""sl_atr"": 5.0}",392,0.070904,0.008606,0.201016,1.071505,-0.10307,0.5,0.3711402344614023,3,0.446384,-0.628399,0.714272,130,-0.118718,0.716271,0.004,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;val_profit_factor
trend_donchian,A_trend,GBPUSD,"{""n"": 240, ""sl_atr"": 5.0}",515,-0.225472,-0.031454,-0.539092,0.805988,-0.280392,0.25,0.8235579449452282,4,-0.177019,-0.715831,0.664247,80,-0.106857,0.066497,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
trend_donchian,A_trend,AUDUSD,"{""n"": 240, ""sl_atr"": 3.0}",308,-0.200789,-0.027646,-0.522668,0.722224,-0.206375,0.125,1.0,4,-0.150715,-0.737093,0.578541,97,-0.207829,0.071448,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
trend_tsmom,A_trend,USDJPY,"{""lookback"": 480, ""z_min"": 0.5}",113,-0.07601,-0.00984,-0.37848,0.745304,-0.118287,0.25,0.5600402363887842,3,0.415624,-0.457452,0.669212,49,-0.079402,0.143026,0.0,190,False,wf_trades;wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
trend_tsmom,A_trend,EURUSD,"{""lookback"": 480, ""z_min"": 0.5}",155,-0.009581,-0.001203,-0.026658,0.993559,-0.103886,0.625,0.46984130726968326,2,0.09613,-0.023163,0.976852,53,-0.034262,0.469985,0.0005,190,False,wf_profit_factor;wf_sharpe;val_profit_factor
trend_tsmom,A_trend,EURJPY,"{""lookback"": 480, ""z_min"": 0.5}",104,-0.05484,-0.00703,-0.277617,0.79163,-0.115264,0.375,0.7040241003814052,3,0.343253,-0.465176,0.712176,56,-0.078878,0.217355,0.0,190,False,wf_trades;wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
trend_tsmom,A_trend,GBPUSD,"{""lookback"": 120, ""z_min"": 1.0}",118,-0.107277,-0.014094,-0.60296,0.718428,-0.112033,0.125,1.0,3,0.195859,-0.766758,0.557993,41,-0.059562,0.045381,0.0,190,False,wf_trades;wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
trend_tsmom,A_trend,AUDUSD,"{""lookback"": 120, ""z_min"": 1.0}",132,0.031055,0.003833,0.155216,1.090757,-0.0558,0.625,0.4214467625777943,3,0.261644,-0.465733,0.659075,41,-0.071015,0.669559,0.0036,190,False,wf_trades;wf_profit_factor;wf_sharpe;val_profit_factor
mr_rsi_bb,B_meanrev,USDJPY,"{""bb_k"": 2.5, ""rsi_lo"": 30}",255,-0.168641,-0.022838,-0.816285,0.7268,-0.188838,0.25,0.7989546724339912,3,-0.669551,0.037055,1.005356,160,-0.063867,0.010435,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
mr_rsi_bb,B_meanrev,EURUSD,"{""bb_k"": 2.0, ""rsi_lo"": 30}",296,-0.107509,-0.014126,-0.474194,0.830636,-0.136756,0.375,0.44249305471675326,3,-0.634855,-0.699228,0.804979,180,-0.111063,0.09255,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;val_profit_factor
mr_rsi_bb,B_meanrev,EURJPY,"{""bb_k"": 2.5, ""rsi_lo"": 30}",287,-0.136744,-0.018225,-0.596489,0.803392,-0.17397,0.25,0.5755286076053612,4,-0.382563,-0.558214,0.814017,123,-0.079667,0.045481,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
mr_rsi_bb,B_meanrev,GBPUSD,"{""bb_k"": 2.5, ""rsi_lo"": 30}",392,-0.16888,-0.022873,-0.684913,0.797994,-0.227969,0.0,1.0,3,-0.089953,-0.113186,0.961535,156,-0.084986,0.028018,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
mr_rsi_bb,B_meanrev,AUDUSD,"{""bb_k"": 2.0, ""rsi_lo"": 30}",278,-0.137627,-0.018351,-0.611704,0.795909,-0.158048,0.25,0.6259182069766647,3,-0.583752,-1.251901,0.69009,174,-0.138536,0.043329,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
mr_zscore,B_meanrev,USDJPY,"{""n"": 72, ""z"": 2.0}",363,-0.108209,-0.014223,-0.348413,0.896435,-0.149081,0.25,0.9410456062291435,2,-0.279875,-0.104745,0.967398,190,-0.060871,0.163839,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
mr_zscore,B_meanrev,EURUSD,"{""n"": 72, ""z"": 2.0}",518,-0.094134,-0.01229,-0.255921,0.937993,-0.197269,0.5,0.5477047000860249,2,-0.378252,-0.523868,0.850892,179,-0.154727,0.235025,0.0001,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
mr_zscore,B_meanrev,EURJPY,"{""n"": 72, ""z"": 2.0}",441,-0.019282,-0.002432,-0.03957,0.986511,-0.091361,0.375,0.7722329098493362,1,-0.144319,0.309397,1.084099,168,-0.062458,0.455488,0.0006,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share
mr_zscore,B_meanrev,GBPUSD,"{""n"": 72, ""z"": 2.0}",646,-0.292513,-0.042361,-1.004743,0.781585,-0.309472,0.125,1.0,3,-0.469262,-0.227137,0.927534,173,-0.069067,0.001995,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
mr_zscore,B_meanrev,AUDUSD,"{""n"": 72, ""z"": 2.0}",466,-0.222364,-0.030969,-0.808571,0.804188,-0.231382,0.0,1.0,3,-0.459966,-1.145066,0.721674,167,-0.158655,0.010233,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
regime_switch,C_regime,USDJPY,"{""adx_trend"": 25, ""brk"": 48}",602,-0.329849,-0.048833,-0.827886,0.794208,-0.341853,0.125,1.0,3,0.091432,-1.243206,0.67871,253,-0.239078,0.010981,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
regime_switch,C_regime,EURUSD,"{""adx_trend"": 25, ""brk"": 48}",534,-0.185998,-0.025413,-0.441638,0.871056,-0.291591,0.375,0.49680148030663496,4,0.130927,-0.981856,0.718894,196,-0.176152,0.112435,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_max_drawdown;val_profit_factor
