spec_id,leverage_profile,risk_per_trade,max_leverage,halted_at,n_trades,net_return,cagr,sharpe,max_drawdown,profit_factor,avg_leverage
ml_lgbm_v1,none,0.005,1.005516,2024-08-02 12:00:00+00:00,2755,-0.153096,-0.034553,-0.569715,-0.1539,0.936645,0.889443
ml_lgbm_v1,low,0.005,3.009476,2022-06-13 12:00:00+00:00,755,-0.136326,-0.030538,-0.556964,-0.151577,0.890634,2.211562
ml_lgbm_v1,medium,0.01,9.978764,2022-05-05 13:00:00+00:00,471,-0.132208,-0.029562,-0.437823,-0.150396,0.912629,4.112999
ml_logit_v1,none,0.005,0.999535,,566,0.057288,0.011858,0.369919,-0.088783,1.076727,0.82408
ml_logit_v1,low,0.005,3.009394,2026-01-27 16:00:00+00:00,553,-0.037848,-0.008132,-0.158531,-0.151705,0.964502,1.229634
ml_logit_v1,medium,0.01,5.178212,2024-07-31 06:00:00+00:00,281,0.009222,0.001945,0.062338,-0.151867,1.008725,2.14548
mr_rsi_bb_v1,none,0.005,1.003965,2025-10-23 06:00:00+00:00,763,-0.146293,-0.032917,-0.845256,-0.150358,0.851735,0.885044
mr_rsi_bb_v1,low,0.005,2.996777,2023-06-27 12:00:00+00:00,381,-0.137808,-0.030891,-0.650138,-0.151203,0.838314,1.479866
mr_rsi_bb_v1,medium,0.01,6.755715,2022-04-25 14:00:00+00:00,76,-0.134217,-0.030038,-0.894077,-0.152036,0.588037,2.754648
mr_zscore_v1,none,0.005,1.005718,,882,-0.026205,-0.005604,-0.06943,-0.126471,0.983022,0.845635
mr_zscore_v1,low,0.005,2.987962,2022-10-21 10:00:00+00:00,244,-0.113258,-0.025116,-0.535314,-0.151741,0.824567,1.411875
mr_zscore_v1,medium,0.01,8.107955,2022-04-27 14:00:00+00:00,93,-0.06591,-0.014325,-0.30294,-0.151771,0.852658,2.615038
mtf_pullback_v1,none,0.005,1.007518,,375,-0.07074,-0.015406,-0.436212,-0.123708,0.8934,0.90622
mtf_pullback_v1,low,0.005,2.998631,2023-05-16 14:00:00+00:00,128,-0.107681,-0.023821,-0.829898,-0.151051,0.727401,1.402529
mtf_pullback_v1,medium,0.01,6.60056,2023-04-10 12:00:00+00:00,110,-0.051455,-0.011117,-0.164104,-0.152777,0.918368,2.573522
regime_switch_v1,none,0.005,1.007785,2025-05-05 05:00:00+00:00,705,-0.082825,-0.018129,-0.308046,-0.151453,0.926054,0.870051
regime_switch_v1,low,0.005,3.018153,2023-04-12 13:00:00+00:00,416,-0.064885,-0.014096,-0.171516,-0.150688,0.939782,1.58453
regime_switch_v1,medium,0.01,9.325208,2022-11-21 08:00:00+00:00,235,-0.031074,-0.006658,-0.010103,-0.151497,0.97201,2.856554
trend_donchian_v1,none,0.005,1.04737,2023-05-03 20:00:00+00:00,122,0.023546,0.004937,0.14284,-0.150439,1.091474,0.814536
trend_donchian_v1,low,0.005,3.117194,2023-02-02 10:00:00+00:00,112,0.168301,0.033465,0.485948,-0.150766,1.489525,1.63562
trend_donchian_v1,medium,0.01,6.742134,2022-12-15 17:00:00+00:00,93,0.209315,0.041038,0.41725,-0.154032,1.444918,2.55855
trend_ema_adx_v1,none,0.005,1.034141,2023-09-22 08:00:00+00:00,329,-0.081007,-0.017718,-0.41246,-0.150762,0.851658,0.820943
trend_ema_adx_v1,low,0.005,3.024721,2022-12-19 11:00:00+00:00,277,-0.053286,-0.011521,-0.168711,-0.150992,0.918544,1.570493
trend_ema_adx_v1,medium,0.01,8.111146,2022-09-19 01:00:00+00:00,183,-0.061566,-0.013357,-0.120866,-0.150957,0.921341,2.885907
trend_tsmom_v1,none,0.005,1.011968,,294,-0.037481,-0.008052,-0.163576,-0.101123,0.938657,0.681835
trend_tsmom_v1,low,0.005,2.971962,,337,-0.005849,-0.001241,0.030406,-0.135256,0.993606,1.040986
trend_tsmom_v1,medium,0.01,5.424095,2025-08-07 04:00:00+00:00,260,0.126396,0.025507,0.303759,-0.15023,1.081917,1.941056
