pair,hour_utc,spread_median_pips,spread_p95_pips,range_median_pips,spread_to_range,volume_median,bars
USDJPY,0,0.6,1.0,27.73,0.0216,20419.8701171875,520
USDJPY,1,0.5,1.0,24.4,0.0205,17989.28955078125,520
USDJPY,2,0.5,1.0,18.65,0.0268,12878.619873046875,520
USDJPY,3,0.5,1.0,15.95,0.0313,10444.780029296875,520
USDJPY,4,0.5,0.905,16.67,0.03,9723.875,520
USDJPY,5,0.5,1.0,18.03,0.0277,11763.429931640625,520
USDJPY,6,0.5,1.0,22.53,0.0222,18904.3203125,520
USDJPY,7,0.5,0.9,23.93,0.0209,21806.61962890625,520
USDJPY,8,0.5,0.9,23.4,0.0214,21144.490234375,518
USDJPY,9,0.5,0.9,20.15,0.0248,17192.4150390625,518
USDJPY,10,0.5,0.815,16.8,0.0298,14209.389892578125,518
USDJPY,11,0.5,0.8,18.27,0.0274,15077.5498046875,518
USDJPY,12,0.5,0.8,23.92,0.0209,22634.3251953125,518
USDJPY,13,0.6,2.1,27.05,0.0222,28946.0751953125,518
USDJPY,14,0.5,1.8,28.13,0.0178,32998.59423828125,518
USDJPY,15,0.4,0.8,25.57,0.0156,28190.86474609375,518
USDJPY,16,0.5,0.8,20.15,0.0248,19418.33447265625,518
USDJPY,17,0.5,1.0,16.0,0.0312,15221.5302734375,519
USDJPY,18,0.5,0.9,15.93,0.0314,14307.884765625,518
USDJPY,19,0.5,0.9,13.45,0.0372,12490.73486328125,518
USDJPY,20,2.6,12.5,11.92,0.218,8742.800048828125,518
USDJPY,21,4.9,13.03,12.25,0.4,2788.885012924671,518
USDJPY,22,1.2,6.7,13.13,0.0914,4164.955017089844,520
USDJPY,23,0.6,1.1,18.22,0.0329,8097.240234375,520
EURUSD,0,0.4,0.7,9.35,0.0428,7861.844919204712,520
EURUSD,1,0.4,0.8,10.12,0.0395,9144.184814453125,520
EURUSD,2,0.4,0.7,8.3,0.0482,6954.5350341796875,520
EURUSD,3,0.4,0.7,7.3,0.0548,5619.7249755859375,520
EURUSD,4,0.4,0.7,6.98,0.0573,4709.155029296875,520
EURUSD,5,0.4,0.8,7.87,0.0508,6542.800048828125,520
EURUSD,6,0.4,0.8,11.7,0.0342,10001.85009765625,520
EURUSD,7,0.4,0.8,15.13,0.0264,13399.125,520
EURUSD,8,0.4,0.9,15.32,0.0261,13456.354736328125,518
EURUSD,9,0.4,0.715,12.62,0.0317,11202.78515625,518
EURUSD,10,0.3,0.6,11.8,0.0254,9678.840087890625,518
EURUSD,11,0.3,0.7,13.15,0.0228,11019.31494140625,518
EURUSD,12,0.3,0.7,15.8,0.019,15421.489990234375,518
EURUSD,13,0.4,1.3,18.25,0.0219,20330.5048828125,518
EURUSD,14,0.3,0.8,18.85,0.0159,22250.005308151245,518
EURUSD,15,0.3,0.6,18.28,0.0164,19519.43994140625,518
EURUSD,16,0.3,0.615,13.67,0.0219,13347.914794921875,518
EURUSD,17,0.3,0.6,12.0,0.025,10062.9599609375,519
EURUSD,18,0.3,0.7,10.3,0.0291,8833.670043945312,518
EURUSD,19,0.3,0.7,8.9,0.0337,7436.784912109375,518
EURUSD,20,1.1,6.7,7.42,0.1481,5304.4000244140625,518
EURUSD,21,2.2,6.4,6.6,0.3333,3078.5549926757812,518
EURUSD,22,0.7,3.9,6.18,0.1134,3069.2750244140625,520
EURUSD,23,0.4,0.8,6.8,0.0588,3425.405029296875,520
EURJPY,0,1.0,1.6,26.13,0.0383,24644.03515625,520
EURJPY,1,1.0,1.6,21.8,0.0459,23767.06005859375,520
EURJPY,2,1.0,1.6,17.07,0.0586,17221.1650390625,520
EURJPY,3,1.0,1.5,15.4,0.0649,14450.894775390625,520
EURJPY,4,1.0,1.5,15.45,0.0647,12958.494976043701,520
EURJPY,5,1.0,1.6,17.17,0.0582,16298.370361328125,520
EURJPY,6,1.0,1.8,22.83,0.0438,21910.099609375,520
EURJPY,7,1.0,2.0,27.0,0.037,25960.0703125,520
EURJPY,8,1.0,2.115,26.3,0.038,25415.1748046875,518
EURJPY,9,0.9,1.9,21.77,0.0413,21982.72998046875,518
EURJPY,10,0.9,1.4,18.95,0.0475,18512.56982421875,518
EURJPY,11,0.9,1.5,18.92,0.0476,20236.0302734375,518
EURJPY,12,0.85,1.4,22.7,0.0374,28353.81494140625,518
EURJPY,13,1.0,4.215,25.15,0.0398,34471.51953125,518
EURJPY,14,0.8,3.8,27.3,0.0293,37536.5498046875,518
EURJPY,15,0.8,1.2,24.63,0.0325,32520.8154296875,518
EURJPY,16,0.9,1.4,18.4,0.0489,24628.67529296875,518
EURJPY,17,0.9,1.61,15.55,0.0579,18114.270111083984,519
EURJPY,18,0.8,1.5,14.0,0.0571,16754.14501953125,518
EURJPY,19,0.9,1.4,13.08,0.0688,14642.260009765625,518
EURJPY,20,3.5,9.6,12.23,0.2863,11550.98486328125,518
EURJPY,21,8.05,17.36,16.0,0.5031,3803.6749877929688,518
EURJPY,22,2.0,12.6,15.7,0.1274,5675.8450927734375,520
EURJPY,23,1.1,2.1,16.18,0.068,9669.630126953125,520
GBPUSD,0,0.8,1.2,10.93,0.0732,7184.239990234375,520
GBPUSD,1,0.8,1.2,12.1,0.0661,8779.885131835938,520
GBPUSD,2,0.8,1.2,10.1,0.0792,6843.68994140625,520
GBPUSD,3,0.7,1.1,9.17,0.0763,5773.3699951171875,520
GBPUSD,4,0.8,1.1,8.17,0.0979,5013.224966406822,520
GBPUSD,5,0.9,1.9,9.75,0.0923,6592.284912109375,520
GBPUSD,6,0.8,1.9,14.85,0.0539,9553.130126953125,520
GBPUSD,7,0.7,1.1,19.45,0.036,11663.669921875,520
GBPUSD,8,0.7,1.1,19.52,0.0359,11416.800048828125,518
GBPUSD,9,0.7,1.0,16.45,0.0426,9739.03515625,518
GBPUSD,10,0.6,1.0,15.62,0.0384,8735.369873046875,518
GBPUSD,11,0.7,1.015,16.85,0.0415,9280.459796905518,518
GBPUSD,12,0.7,1.0,20.57,0.034,12779.5,518
GBPUSD,13,0.7,2.1,22.35,0.0313,16192.335205078125,518
GBPUSD,14,0.7,1.7,23.6,0.0297,17759.085205078125,518
GBPUSD,15,0.7,1.0,22.25,0.0315,16674.89013671875,518
GBPUSD,16,0.7,1.0,17.52,0.0399,12007.47006225586,518
GBPUSD,17,0.7,1.11,14.55,0.0481,9268.659967422485,519
GBPUSD,18,0.7,1.1,12.88,0.0544,7824.60986328125,518
GBPUSD,19,0.7,1.1,10.6,0.066,7077.38000702858,518
GBPUSD,20,2.7,11.815,9.43,0.2865,5517.6600341796875,518
GBPUSD,21,6.6,13.045,10.9,0.6055,3077.0499877929688,518
GBPUSD,22,1.4,8.105,9.05,0.1547,3076.7049560546875,520
GBPUSD,23,0.8,1.3,8.2,0.0976,2982.5850219726562,520
AUDUSD,0,1.0,1.2,9.85,0.1015,7233.1248779296875,520
AUDUSD,1,1.0,1.3,12.0,0.0833,9620.66015625,520
AUDUSD,2,0.9,1.205,9.6,0.0938,7679.85498046875,520
AUDUSD,3,1.0,1.2,8.65,0.1156,6001.1549072265625,520
AUDUSD,4,0.9,1.2,7.42,0.1212,4700.02001953125,520
AUDUSD,5,1.0,1.2,7.9,0.1266,6076.639892578125,519
AUDUSD,6,0.9,1.2,10.07,0.0893,8505.934936523438,520
AUDUSD,7,0.9,1.2,10.95,0.0822,9914.440063476562,520
AUDUSD,8,0.9,1.2,10.67,0.0843,9768.249755859375,518
AUDUSD,9,0.9,1.2,8.93,0.1008,7813.705078125,518
AUDUSD,10,0.9,1.2,8.1,0.1111,6808.1800537109375,518
AUDUSD,11,0.9,1.2,8.52,0.1056,7033.7650146484375,518
AUDUSD,12,0.9,1.2,11.05,0.0814,10688.115234375,518
AUDUSD,13,1.0,1.815,13.03,0.0768,14865.84033203125,518
AUDUSD,14,0.9,1.515,14.6,0.0616,18459.259765625,518
AUDUSD,15,0.9,1.2,13.45,0.0669,16083.21484375,518
AUDUSD,16,0.9,1.2,9.68,0.093,10993.77490234375,518
AUDUSD,17,0.9,1.3,8.4,0.1071,8044.050048828125,519
AUDUSD,18,1.0,1.2,7.6,0.1316,7321.145000696182,518
AUDUSD,19,0.9,1.2,6.4,0.1406,6449.554931640625,518
AUDUSD,20,2.0,7.215,5.58,0.3587,4125.1649169921875,518
AUDUSD,21,3.1,7.4,7.45,0.4161,1986.9400329589844,518
AUDUSD,22,1.4,3.705,6.3,0.2222,2411.7199096679688,520
AUDUSD,23,1.0,1.3,6.45,0.155,3159.8200073242188,520
AUDJPY,0,0.7,1.3,21.3,0.0329,15525.4501953125,520
AUDJPY,1,0.75,1.3,20.25,0.037,16250.079833984375,520
AUDJPY,2,0.7,1.3,16.38,0.0427,12326.135140419006,520
AUDJPY,3,0.7,1.2,14.6,0.0479,9857.35498046875,520
AUDJPY,4,0.7,1.2,13.6,0.0515,8202.279907226562,520
AUDJPY,5,0.8,1.105,14.87,0.0538,10540.85498046875,520
AUDJPY,6,0.7,1.2,17.13,0.0409,13622.034912109375,520
AUDJPY,7,0.7,1.1,18.2,0.0385,15524.349853515625,520
AUDJPY,8,0.7,1.1,17.65,0.0397,15021.06005859375,518
AUDJPY,9,0.7,1.115,15.02,0.0466,12348.33984375,518
AUDJPY,10,0.7,1.0,13.62,0.0514,10369.150146484375,518
AUDJPY,11,0.7,1.1,12.98,0.0539,11044.835205078125,518
AUDJPY,12,0.7,1.1,16.85,0.0415,15898.215087890625,518
AUDJPY,13,0.8,3.415,19.4,0.0412,22422.73046875,518
AUDJPY,14,0.7,2.645,22.13,0.0316,26188.7001953125,518
AUDJPY,15,0.7,1.0,19.7,0.0355,22396.8203125,518
AUDJPY,16,0.7,1.1,14.57,0.048,16155.51513671875,518
AUDJPY,17,0.7,1.5,12.65,0.0553,12066.410018920898,519
AUDJPY,18,0.7,1.2,11.48,0.061,10617.634765625,518
AUDJPY,19,0.7,1.2,10.45,0.067,9560.1201171875,518
AUDJPY,20,6.1,12.315,10.08,0.6055,6869.9000244140625,518
AUDJPY,21,8.0,14.815,15.25,0.5246,2771.239990234375,518
AUDJPY,22,1.6,8.7,13.25,0.1208,3512.2999267578125,519
AUDJPY,23,0.8,1.5,13.4,0.0597,6123.914794921875,520
GBPJPY,0,2.0,3.0,30.82,0.0649,19143.57470703125,520
GBPJPY,1,1.9,2.8,26.75,0.071,18472.2451171875,520
GBPJPY,2,1.9,2.8,20.8,0.0913,13825.0,520
GBPJPY,3,1.9,2.7,18.85,0.1008,11623.844970703125,520
GBPJPY,4,1.9,2.7,18.65,0.1019,10308.925048828125,520
GBPJPY,5,2.0,4.7,21.13,0.0947,13105.0048828125,520
GBPJPY,6,1.8,4.105,27.98,0.0643,18134.1298828125,520
GBPJPY,7,1.7,2.4,33.02,0.0515,20937.11962890625,520
GBPJPY,8,1.7,2.6,33.3,0.0511,20377.615234375,518
GBPJPY,9,1.7,2.5,27.8,0.0612,17207.78515625,518
GBPJPY,10,1.7,2.5,25.53,0.0666,14774.880126953125,518
GBPJPY,11,1.7,2.5,25.78,0.066,16013.520263671875,518
GBPJPY,12,1.7,2.4,30.48,0.0558,21694.51025390625,518
GBPJPY,13,1.9,7.3,33.0,0.0576,28888.36474609375,518
GBPJPY,14,1.6,4.7,37.7,0.0424,32125.54497528076,518
GBPJPY,15,1.6,2.3,33.2,0.0482,28712.9599609375,518
