spec_id,period,variant,cost_profile,halted_at,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,exposure_time,avg_leverage,max_leverage,psr_vs_zero,t_stat
ml_lgbm_v1,TEST,portfolio,retail_jp,2022-09-06 13:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.125192,-0.037591,-0.492809,-0.63832,-0.150822,0.076733,-125192.152686,-0.805748,1165,0.939408,0.484979,3435.341922,-3443.600564,0.997602,-107.461075,-0.028441,8,333.738235,6.597425,182009.303668,-22086.417041,78903.568022,2.306731,156.231162,903.073537,0.174071,2.454689,5.000298,0.175228,-0.921962
ml_lgbm_v1,TEST,portfolio_stress_2x,stress_2x,2022-05-06 17:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.128593,-0.038664,-0.732889,-0.931513,-0.150918,0.054005,-128592.735618,-0.830243,572,0.876762,0.466783,3426.427139,-3421.143546,1.001544,-224.812475,-0.052451,8,163.861176,6.398601,182053.986705,-18758.631097,72219.882184,2.520829,318.276201,492.643808,0.086278,2.618149,5.002522,0.080377,-1.371111
ml_lgbm_v1,TEST,portfolio_ibkr,ibkr,2022-03-04 15:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.143033,-0.043255,-1.206483,-1.364807,-0.150475,0.037201,-143032.708196,-0.942289,253,0.697076,0.458498,2837.427223,-3446.527489,0.823271,-565.346673,-0.163374,6,72.477059,6.418972,150823.448047,-7341.7992,15132.539052,9.96683,596.140111,243.605064,0.041028,2.729898,4.990727,0.004295,-2.257123
ml_lgbm_v1,TEST,USDJPY,retail_jp,,2022-01-02,2025-06-30,3.49,0.004288,0.001226,0.052579,0.073501,-0.124352,0.070557,4287.740699,0.031558,892,1.002513,0.515695,3718.517266,-3949.606948,0.94149,4.806884,0.002138,10,255.531765,6.95852,106060.0,-3765.579435,114113.320133,0.929427,118.901345,702.25646,0.284855,1.328831,3.000238,0.53915,0.098365
ml_lgbm_v1,TEST,EURUSD,retail_jp,2023-10-03 06:00:00+00:00,2022-01-02,2025-06-30,3.49,0.023047,0.006549,0.146121,0.206662,-0.150645,0.070739,23047.387318,0.127016,1110,1.010535,0.518018,3844.746345,-4089.124787,0.940237,20.763412,0.007293,11,317.982353,6.292793,159531.372475,-35529.705418,218108.465211,0.731431,143.721957,1062.187938,0.320606,1.551692,3.004518,0.607612,0.273368
ml_lgbm_v1,TEST,EURJPY,retail_jp,2023-12-14 02:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.087691,-0.025949,-0.501186,-0.640534,-0.150832,0.048405,-87690.713143,-0.541141,439,0.901695,0.480638,3812.003672,-3912.383719,0.974343,-199.751055,-0.039406,14,125.760588,6.908884,78662.5,-5068.715851,-3959.497292,,179.185649,345.823211,0.139199,1.274818,2.970893,0.169472,-0.937634
ml_lgbm_v1,TEST,GBPUSD,retail_jp,2024-08-20 14:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.144891,-0.04385,-0.85998,-1.086495,-0.150334,0.050514,-144891.466384,-0.957662,529,0.851567,0.466919,3365.368283,-3461.480257,0.972234,-273.896912,-0.066194,8,151.542941,6.63138,111307.316835,-6523.086859,-27061.06269,,210.410807,506.41685,0.161006,1.550095,3.007295,0.049596,-1.608876
ml_lgbm_v1,TEST,AUDUSD,retail_jp,2022-05-11 03:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.13422,-0.040447,-1.558431,-1.772854,-0.150403,0.028734,-134219.92365,-0.875719,185,0.673533,0.427027,3505.171062,-3878.570166,0.903728,-725.513101,-0.162947,6,52.997059,6.497297,48778.58204,-2296.184203,-83145.157408,,263.668011,138.24319,0.055211,1.159109,2.307346,0.000395,-2.915557
ml_lgbm_v1,FORWARD,portfolio,retail_jp,2025-10-17 01:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.096858,-0.079194,-0.979115,-1.223643,-0.150052,0.070533,-96857.911607,-0.607476,453,0.873116,0.472406,3114.483321,-3193.963776,0.975115,-213.814374,-0.028284,12,366.869734,6.649007,85877.91457,-4253.678126,-6726.318911,,189.57597,1243.816975,0.211235,2.865005,5.01981,0.131712,-1.09131
ml_lgbm_v1,FORWARD,portfolio_stress_2x,stress_2x,2025-10-08 05:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.135057,-0.110864,-1.517466,-1.883842,-0.150088,0.068222,-135057.259758,-0.884215,419,0.810741,0.451074,3061.122827,-3102.649887,0.986616,-322.332362,-0.079639,12,339.334257,6.680191,162311.316075,-9513.814488,36767.870805,4.414488,387.377843,1165.563187,0.198939,2.862575,5.012221,0.042412,-1.69135
ml_lgbm_v1,FORWARD,portfolio_ibkr,ibkr,2025-09-08 18:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.147274,-0.121049,-2.141067,-2.38226,-0.151387,0.053182,-147274.112308,-0.968143,316,0.723369,0.471519,2584.629509,-3187.9276,0.810755,-466.057317,-0.179615,12,255.91796,6.487342,227723.851193,-4150.5116,84600.250485,2.691763,720.645099,827.988294,0.141082,2.847028,5.036024,0.002865,-2.386409
ml_lgbm_v1,FORWARD,USDJPY,retail_jp,,2025-07-01,2026-09-25,1.23,-0.023233,-0.018858,-0.178983,-0.255989,-0.103817,0.069775,-23233.239938,-0.217377,320,0.962036,0.5,3679.718733,-3824.926483,0.962036,-72.603875,-0.008145,8,259.157428,6.259375,37720.0,6351.195116,8135.564945,4.636433,117.875,996.374615,0.259254,1.860046,3.005301,0.421137,-0.199492
ml_lgbm_v1,FORWARD,EURUSD,retail_jp,,2025-07-01,2026-09-25,1.23,-0.064121,-0.052254,-0.478697,-0.657366,-0.135521,0.094259,-64120.53487,-0.444692,676,0.9483,0.497041,3500.377774,-3647.786668,0.959589,-94.852862,-0.018929,7,547.470067,6.517751,119298.406898,-18031.196623,73209.068651,1.629558,176.476933,2606.31365,0.570282,2.312335,3.01154,0.297001,-0.53355
ml_lgbm_v1,FORWARD,EURJPY,retail_jp,2026-09-16 18:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.135453,-0.111193,-1.846836,-2.239412,-0.151153,0.06249,-135452.678255,-0.879855,283,0.749491,0.434629,3294.774488,-3379.437127,0.974948,-478.631372,-0.108155,8,229.19235,6.975265,67121.0,-1839.029795,-66492.648461,,237.176678,1019.514364,0.255501,2.201403,2.997691,0.015189,-2.058462
ml_lgbm_v1,FORWARD,GBPUSD,retail_jp,,2025-07-01,2026-09-25,1.23,0.011831,0.009571,0.20734,0.294088,-0.070798,0.052221,11830.978394,0.157311,192,1.033556,0.526042,3607.966403,-3874.435476,0.931224,61.619679,0.01691,6,155.494457,6.916667,49992.419658,-3894.503984,65717.902036,0.760712,260.377186,687.751118,0.171887,2.123818,3.005813,0.591129,0.231099
ml_lgbm_v1,FORWARD,AUDUSD,retail_jp,2026-03-05 15:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.116569,-0.095503,-1.353152,-1.722324,-0.150755,0.070479,-116568.533206,-0.743309,348,0.828413,0.474138,3410.819675,-3712.315735,0.918785,-334.967049,-0.071577,9,281.833703,7.037356,135840.288178,-6612.322524,25884.077496,5.248025,390.345656,1001.023776,0.316982,1.647529,2.777835,0.06239,-1.508208
ml_logit_v1,TEST,portfolio,retail_jp,,2022-01-02,2025-06-30,3.49,0.015067,0.004293,0.110977,0.14733,-0.127108,0.049603,15067.052866,0.104511,514,1.015606,0.529183,3604.949162,-3989.583137,0.90359,29.313332,0.006317,9,147.245882,7.249027,69926.410683,3658.162419,81335.30113,0.85973,136.043601,311.059379,0.143919,1.192878,3.570183,0.581844,0.20762
ml_logit_v1,TEST,portfolio_stress_2x,stress_2x,2025-04-06 22:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.082334,-0.024313,-0.476584,-0.598039,-0.150742,0.048984,-82333.504543,-0.505471,476,0.909698,0.506303,3441.596238,-3879.822119,0.88705,-172.969547,-0.038275,10,136.36,7.262605,130660.80149,-1374.893115,49702.190062,2.628874,274.497482,292.345026,0.134511,1.21294,3.575887,0.180566,-0.891608
ml_logit_v1,TEST,portfolio_ibkr,ibkr,2024-08-02 13:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.116881,-0.034981,-0.838645,-1.013723,-0.150601,0.041322,-116881.4839,-0.746464,323,0.813762,0.513932,3076.565787,-3997.397481,0.769642,-361.862179,-0.090916,7,92.53,7.260062,214242.466483,-130.517398,97491.49998,2.19755,663.28937,200.749857,0.091326,1.183555,3.617059,0.048944,-1.568962
