strategy,pair,year,chosen_params,train_sharpe,oos_return,oos_sharpe,oos_trades,oos_pf
trend_ema_adx,USDJPY,2014,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",-0.49,0.005909,0.136087,43,1.058587
trend_ema_adx,USDJPY,2015,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",-0.2329,-0.096036,-1.896013,55,0.406212
trend_ema_adx,USDJPY,2016,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",-0.0688,0.068811,1.152397,63,1.497238
trend_ema_adx,USDJPY,2017,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.273,0.063828,0.969131,67,1.48066
trend_ema_adx,USDJPY,2018,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.428,-0.029305,-0.414428,71,0.822549
trend_ema_adx,USDJPY,2019,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.0975,-0.042641,-0.629302,83,0.78973
trend_ema_adx,USDJPY,2020,"{""adx_min"": 0, ""fast"": 50, ""slow"": 100}",0.3715,0.048686,0.709473,56,1.356982
trend_ema_adx,USDJPY,2021,"{""adx_min"": 0, ""fast"": 50, ""slow"": 100}",0.398,0.018155,0.306835,69,1.093374
trend_ema_adx,EURUSD,2014,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",0.4489,-0.013905,-0.332644,39,0.855075
trend_ema_adx,EURUSD,2015,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.6302,0.074876,1.239742,52,1.604072
trend_ema_adx,EURUSD,2016,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.8197,-0.045828,-0.779441,56,0.73967
trend_ema_adx,EURUSD,2017,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.3675,0.089636,1.453452,45,1.989362
trend_ema_adx,EURUSD,2018,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.723,0.002626,0.076232,57,0.998523
trend_ema_adx,EURUSD,2019,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.5336,0.04281,0.724278,58,1.314785
trend_ema_adx,EURUSD,2020,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.676,-0.005351,-0.074948,69,0.990279
trend_ema_adx,EURUSD,2021,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.9149,-0.009428,-0.132115,76,0.950879
trend_ema_adx,EURJPY,2014,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.4405,0.039498,0.596223,83,1.587975
trend_ema_adx,EURJPY,2015,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",0.4846,0.00832,0.149214,52,0.512744
trend_ema_adx,EURJPY,2016,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",0.7256,-0.01988,-0.386688,57,0.834113
trend_ema_adx,EURJPY,2017,"{""adx_min"": 20, ""fast"": 50, ""slow"": 100}",0.2781,-0.017674,-0.431017,39,0.78919
trend_ema_adx,EURJPY,2018,"{""adx_min"": 20, ""fast"": 50, ""slow"": 100}",0.2879,0.002673,0.082832,34,1.033993
trend_ema_adx,EURJPY,2019,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",-0.1374,-0.030357,-0.732807,30,0.633831
trend_ema_adx,EURJPY,2020,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.0087,0.059575,0.758891,102,1.210032
trend_ema_adx,EURJPY,2021,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.4159,-0.050474,-0.74991,75,0.767983
trend_ema_adx,GBPUSD,2014,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",-0.535,-0.020259,-0.498586,27,0.727684
trend_ema_adx,GBPUSD,2015,"{""adx_min"": 20, ""fast"": 20, ""slow"": 200}",-0.1609,0.012784,0.307782,46,1.123209
trend_ema_adx,GBPUSD,2016,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.272,-0.05196,-1.22739,55,0.586072
trend_ema_adx,GBPUSD,2017,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.4673,-0.077741,-1.673724,67,0.594612
trend_ema_adx,GBPUSD,2018,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.1106,-0.012792,-0.196073,66,0.870132
trend_ema_adx,GBPUSD,2019,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",-0.0323,0.055099,1.352305,29,1.953918
trend_ema_adx,GBPUSD,2020,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",0.1301,0.039476,0.773382,41,1.503116
trend_ema_adx,GBPUSD,2021,"{""adx_min"": 0, ""fast"": 50, ""slow"": 200}",0.5199,-0.052209,-1.494305,38,0.505474
trend_ema_adx,AUDUSD,2014,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",0.6162,-0.107877,-1.815267,94,0.56396
trend_ema_adx,AUDUSD,2015,"{""adx_min"": 20, ""fast"": 20, ""slow"": 100}",0.2281,-0.036076,-0.697885,61,0.761094
trend_ema_adx,AUDUSD,2016,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",-0.2039,-0.006436,-0.090636,28,0.914991
trend_ema_adx,AUDUSD,2017,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",-0.1866,0.068362,1.050774,47,1.651978
trend_ema_adx,AUDUSD,2018,"{""adx_min"": 0, ""fast"": 20, ""slow"": 200}",0.084,-0.030089,-0.452548,75,0.856009
trend_ema_adx,AUDUSD,2019,"{""adx_min"": 20, ""fast"": 20, ""slow"": 200}",0.2544,0.039522,0.800225,37,1.368198
trend_ema_adx,AUDUSD,2020,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",0.7743,-0.006217,-0.146094,27,0.910297
trend_ema_adx,AUDUSD,2021,"{""adx_min"": 20, ""fast"": 50, ""slow"": 200}",0.7598,-0.070785,-2.339447,33,0.30143
trend_donchian,USDJPY,2014,"{""n"": 240, ""sl_atr"": 3.0}",0.1512,0.128336,1.287387,26,2.382212
trend_donchian,USDJPY,2015,"{""n"": 240, ""sl_atr"": 3.0}",0.616,-0.03247,-0.393838,26,0.690311
trend_donchian,USDJPY,2016,"{""n"": 240, ""sl_atr"": 3.0}",0.7698,0.064013,0.862913,21,2.11864
trend_donchian,USDJPY,2017,"{""n"": 240, ""sl_atr"": 3.0}",0.764,-0.018954,-0.286582,28,0.805779
trend_donchian,USDJPY,2018,"{""n"": 48, ""sl_atr"": 3.0}",0.551,0.042593,0.601086,95,1.221451
trend_donchian,USDJPY,2019,"{""n"": 48, ""sl_atr"": 3.0}",0.5197,-0.018863,-0.229881,89,0.858249
trend_donchian,USDJPY,2020,"{""n"": 48, ""sl_atr"": 3.0}",0.3605,0.044003,0.5719,91,1.185659
trend_donchian,USDJPY,2021,"{""n"": 48, ""sl_atr"": 3.0}",0.1847,0.049367,0.6458,86,1.203942
trend_donchian,EURUSD,2014,"{""n"": 120, ""sl_atr"": 3.0}",-0.0604,-0.023275,-0.346923,40,0.987967
trend_donchian,EURUSD,2015,"{""n"": 120, ""sl_atr"": 3.0}",-0.1817,-0.022916,-0.356228,50,0.746386
trend_donchian,EURUSD,2016,"{""n"": 240, ""sl_atr"": 3.0}",0.2257,-0.045241,-0.790295,26,0.4682
