candidate,is_v2,family,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,psr_vs_zero,t_stat,positive_year_ratio,max_single_year_share,ret_A,ret_B,positive_pairs,max_regime_share,stress_pf,stress_net_return,dsr,n_trials_v2,final_params,param_changes,diag_top1_share,diag_top5_share,diag_pnl_ex_top5,diag_pf_ex_top5,diag_swap_share,diag_ret_2024_2026,gate_fail,status
v2_d1_donchian,True,trend_mid,2014-01-02,2026-09-25,12.73,-0.100444,-0.008282,-0.258484,-0.366741,-0.168086,0.029083,-100444.251412,-0.552788,164,0.737981,0.310976,5798.160466,-3545.985911,1.635134,-640.184294,-0.11892,12,12.884706,952.22561,6919.702285,-32535.297006,-65535.224884,,42.193307,5.226314,0.179141,-0.921859,0.3076923076923077,0.41383406084725416,-0.02501510760776071,-0.07736442317452241,0,1.0,0.645164,-0.136642,0.0079,80,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",3,,,-237498.1990345182,0.4072864284825672,,-0.06708936319447001,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_d1_tsmom,True,trend_mid,2014-01-02,2026-09-25,12.73,-0.119895,-0.009984,-0.062124,-0.086641,-0.27829,0.080461,-119894.8448,-0.370783,199,0.934022,0.306533,14092.34936,-6669.251982,2.113033,-305.143028,0.021856,18,15.634491,1311.135678,23595.425153,-125929.968507,88801.931114,0.265708,118.569976,14.808541,0.412326,-0.221561,0.46153846153846156,0.4290814254437206,-0.03141916807636436,-0.09134568206115667,3,0.9856443207823122,0.870505,-0.201296,0.0396,80,"{""lookback"": 252, ""sizing"": ""vol_target""}",4,,,-553584.9176901323,0.3985105193850537,,-0.11181043684583747,profit_factor;sharpe;positive_years;single_year_dependence;max_drawdown;subperiod_not_positive;fragile_to_cost_2x;single_regime_dependence;deflated_sharpe,REJECTED
v2_h4_ema,True,trend_mid,2014-01-02,2026-09-25,12.73,0.047339,0.00364,0.10444,0.162727,-0.134322,0.044118,47339.324303,0.302807,896,1.028566,0.34375,5450.700802,-2775.835242,1.963625,52.036523,0.007716,16,70.394493,78.774554,73341.257973,-58275.548614,178241.531605,0.411471,81.854083,81.515304,0.64564,0.372474,0.46153846153846156,0.43536657970680676,0.0769946945444655,-0.027535298355697013,2,0.7170843439826013,0.915673,-0.121584,0.1388,80,"{""adx_min"": 20, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",1,0.7705721594595853,3.1867935915984558,-101958.64988056547,0.9375326525800365,-1.2498850897486542,-0.018040202403496575,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_trend_carry,True,trend_carry,2014-01-02,2026-09-25,12.73,0.197129,0.014236,0.440583,0.616869,-0.078007,0.03403,197129.087996,2.028427,157,2.078576,0.382166,7092.450591,-2110.618967,3.360365,1406.47768,0.319694,8,12.334749,1458.611465,5100.677058,27189.187422,198728.485343,0.025667,32.488389,3.327907,0.94079,1.571297,0.7692307692307693,0.2590841976346329,0.09397039222279568,0.09429752076188413,5,0.5045792084778824,1.783361,0.138821,0.5347,80,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",1,0.5531310310604891,1.1729071816678112,-38180.84439200885,0.8135063890265875,0.12312995806619324,0.008981582785054565,,CHALLENGER
v2_xpair_strength,True,cross_pair,2014-01-02,2026-09-25,12.73,-0.039105,-0.003129,-0.174221,-0.243762,-0.090851,0.016283,-39104.619025,-0.407363,330,0.878572,0.427273,1924.55239,-1634.216433,1.177661,-113.651572,-0.036871,13,25.926543,326.690909,10014.805913,-16533.142652,-10957.070303,,30.347897,7.35302,0.267324,-0.621344,0.38461538461538464,0.497427134365247,0.007980481932630568,-0.04671231417863453,1,1.0,0.788246,-0.069566,0.0174,80,"{""lookback"": 60, ""sizing"": ""risk_stop"", ""top_k"": 3}",2,,,-99088.01343311786,0.6791886358075572,,-0.027514702349387354,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_session_breakout,True,session,2014-01-02,2026-09-25,12.73,-0.319978,-0.029843,-0.234786,-0.360763,-0.465799,0.102377,-319978.485843,-0.626456,2624,0.948855,0.337271,7111.947045,-3814.452553,1.864474,-129.291103,-0.025567,22,206.155302,39.631098,346426.718895,-94891.803357,102058.667167,3.394388,132.022378,607.495383,0.203151,-0.837341,0.38461538461538464,0.3680943552816672,-0.37869561654719064,0.09450622314532175,2,1.0,0.85763,-0.608943,0.0105,80,"{""session"": ""tokyo_london""}",4,,,-564595.3260101089,0.9148851223282284,,0.03244027436412611,profit_factor;sharpe;positive_years;max_drawdown;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_ml_d1_logit,True,ml,2014-01-02,2026-09-25,12.73,-0.059598,-0.004816,-0.646369,-0.788973,-0.064588,0.007451,-59598.318637,-0.919722,155,0.596163,0.445161,1273.20305,-1713.496783,0.743044,-383.933632,-0.094617,6,12.177619,116.929032,4577.353943,-5149.730211,-49782.628756,,29.531316,5.609438,0.007206,-2.305212,0.23076923076923078,0.450714253234819,-0.04602457194129417,-0.014228612495490012,0,1.0,0.535617,-0.071132,0.0,80,"{""th"": 0.55}",1,,,-80084.60804110114,0.45654034385405373,,-0.011331137274452008,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe;ml_not_better_than_simple,REJECTED
trend_ema_adx,False,A_trend,2014-01-02,2026-09-25,12.73,-0.503184,-0.053476,-0.430264,-0.667254,-0.553387,0.112417,-503184.075954,-0.852281,3674,0.908028,0.312738,4527.579754,-2268.954087,1.995448,-143.418599,-0.037205,28,288.648849,30.053892,423604.05816,-121764.279595,18448.406705,22.961552,115.297784,642.018753,0.064816,-1.534494,0.15384615384615385,0.5507885520293857,-0.32303856790698404,-0.2661089679664361,1,1.0,0.80697,-0.766129,0.0015,80,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",4,,,-793850.6811294705,0.8614355789623671,,-0.2213576654392856,reference_v1,REFERENCE_V1
trend_donchian,False,A_trend,2014-01-02,2026-09-25,12.73,-0.719598,-0.095071,-0.61575,-0.895743,-0.760018,0.142208,-719598.412862,-0.863354,2393,0.818804,0.244045,7405.410563,-2919.735778,2.536329,-399.93408,-0.114762,27,188.006722,78.052236,221867.97143,-160140.605349,-575033.676095,,92.715408,431.476601,0.014924,-2.196014,0.23076923076923078,0.6445222573247994,-0.5618891422969878,-0.35997571800003514,1,1.0,0.739726,-0.847093,0.0001,80,"{""n"": 240, ""sl_atr"": 3.0}",3,,,-1305985.13424809,0.7527387189302153,,-0.20045991935566554,reference_v1,REFERENCE_V1
trend_tsmom,False,A_trend,2014-01-02,2026-09-25,12.73,-0.186681,-0.016103,-0.191013,-0.275404,-0.279606,0.066671,-186681.240699,-0.613945,973,0.927952,0.341213,7147.860251,-3989.611348,1.791618,-189.364101,-0.032958,20,76.44402,142.018499,61752.858968,-76335.489889,-46162.921899,,63.466453,90.38829,0.248249,-0.681231,0.5384615384615384,0.33739917195884267,-0.1614293028214433,-0.030113069729996278,2,1.0,0.872176,-0.296095,0.0139,80,"{""lookback"": 480, ""z_min"": 0.5}",3,,,-334794.5143351967,0.8690849085752012,,-0.10302666230294222,reference_v1,REFERENCE_V1
