candidate,is_v2,family,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,psr_vs_zero,t_stat,positive_year_ratio,max_single_year_share,ret_A,ret_B,positive_pairs,max_regime_share,stress_pf,stress_net_return,dsr,n_trials_v2,final_params,param_changes,gate_fail,status
v2_d1_donchian,True,trend_mid,2014-01-02,2026-09-25,12.73,-0.100444,-0.008282,-0.258484,-0.366741,-0.168086,0.029083,-100444.251412,-0.552788,164,0.737981,0.310976,5798.160466,-3545.985911,1.635134,-640.184294,-0.11892,12,12.884706,952.22561,6919.702285,-32535.297006,-65535.224884,,42.193307,5.226314,0.179141,-0.921859,0.3076923076923077,0.41383406084725416,-0.02501510760776071,-0.07736442317452241,0,1.0,0.645164,-0.136642,0.0079,80,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",3,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_d1_tsmom,True,trend_mid,2014-01-02,2026-09-25,12.73,-0.116666,-0.009699,-0.05857,-0.081696,-0.27829,0.080448,-116666.402555,-0.360799,199,0.939321,0.306533,14172.30704,-6669.251982,2.125022,-280.633387,0.022742,18,15.634491,1311.045226,23578.584953,-125929.968507,93662.509364,0.25174,118.485352,14.808526,0.417269,-0.208883,0.46153846153846156,0.4290814254437206,-0.03141916807636436,-0.0880125144637024,3,0.9669423066143318,0.87502,-0.198365,0.0406,80,"{""lookback"": 252, ""sizing"": ""vol_target""}",4,profit_factor;sharpe;positive_years;single_year_dependence;max_drawdown;subperiod_not_positive;fragile_to_cost_2x;single_regime_dependence;deflated_sharpe,REJECTED
v2_h4_ema,True,trend_mid,2014-01-02,2026-09-25,12.73,0.046499,0.003577,0.103005,0.160475,-0.134322,0.044121,46498.89728,0.297431,896,1.028017,0.34375,5447.791166,-2775.835242,1.962577,51.036336,0.007508,16,70.394493,78.764509,73341.397293,-58275.548614,177345.502855,0.413551,81.854238,81.515323,0.643723,0.367357,0.46153846153846156,0.43536657970680676,0.0769946945444655,-0.028315642982013167,2,0.7235715281306554,0.915223,-0.122243,0.1375,80,"{""adx_min"": 20, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",1,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_trend_carry,True,trend_carry,2014-01-02,2026-09-25,12.73,0.197695,0.014274,0.441711,0.618498,-0.078007,0.034027,197695.37565,2.034254,157,2.081416,0.382166,7102.139313,-2110.618967,3.364956,1410.180376,0.320333,8,12.334749,1458.496815,5099.700278,27189.187422,199308.831853,0.025587,32.482167,3.327907,0.941257,1.57532,0.7692307692307693,0.2585380806761582,0.09397039222279568,0.09481516516747157,5,0.5065334977264306,1.786416,0.139446,0.5359,80,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",1,,CHALLENGER
v2_xpair_strength,True,cross_pair,2014-01-02,2026-09-25,12.73,-0.039001,-0.003121,-0.173698,-0.243032,-0.090851,0.016284,-39000.814231,-0.406282,330,0.878898,0.427273,1924.55239,-1633.611422,1.178097,-113.305066,-0.036744,13,25.926543,326.663636,10013.268113,-16533.142652,-10844.261003,,30.343237,7.35302,0.267938,-0.619476,0.38461538461538464,0.497427134365247,0.007980481932630568,-0.0466093312379956,1,1.0,0.788589,-0.069441,0.0174,80,"{""lookback"": 60, ""sizing"": ""risk_stop"", ""top_k"": 3}",2,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_session_breakout,True,session,2014-01-02,2026-09-25,12.73,-0.321575,-0.030022,-0.236601,-0.363541,-0.465799,0.102374,-321574.799118,-0.629582,2624,0.948417,0.337271,7108.662299,-3814.452553,1.863613,-130.398954,-0.025755,22,206.155302,39.627668,346422.218895,-94891.803357,99147.167167,3.49402,132.020663,607.495792,0.201357,-0.843814,0.38461538461538464,0.3680943552816672,-0.37869561654719064,0.0919369297091337,2,1.0,0.857274,-0.609786,0.0103,80,"{""session"": ""tokyo_london""}",4,profit_factor;sharpe;positive_years;max_drawdown;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe,REJECTED
v2_ml_d1_logit,True,ml,2014-01-02,2026-09-25,12.73,-0.059598,-0.004816,-0.646369,-0.788973,-0.064588,0.007451,-59598.318637,-0.919722,155,0.596163,0.445161,1273.20305,-1713.496783,0.743044,-383.933632,-0.094617,6,12.177619,116.929032,4577.353943,-5149.730211,-49782.628756,,29.531316,5.609438,0.007206,-2.305212,0.23076923076923078,0.450714253234819,-0.04602457194129417,-0.014228612495490012,0,1.0,0.535617,-0.071132,0.0,80,"{""th"": 0.55}",1,profit_factor;sharpe;positive_years;single_year_dependence;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe;ml_not_better_than_simple,REJECTED
trend_ema_adx,False,A_trend,2014-01-02,2026-09-25,12.73,-0.502971,-0.053444,-0.429964,-0.666789,-0.553387,0.112417,-502970.978526,-0.851921,3673,0.90807,0.312823,4527.579754,-2269.746858,1.994751,-143.38468,-0.037186,28,288.570284,30.06153,423548.05816,-121764.279595,18660.406705,22.697686,115.313928,641.867313,0.064948,-1.533425,0.15384615384615385,0.5507885520293857,-0.32303856790698404,-0.26579418278383693,1,1.0,0.807028,-0.76597,0.0015,80,"{""adx_min"": 0, ""fast"": 20, ""slow"": 100}",4,reference_v1,REFERENCE_V1
trend_donchian,False,A_trend,2014-01-02,2026-09-25,12.73,-0.719558,-0.09506,-0.615672,-0.895633,-0.760018,0.142208,-719557.577154,-0.863305,2393,0.818818,0.244045,7405.540141,-2919.735778,2.536373,-399.902457,-0.114865,27,188.006722,78.044714,221868.15719,-160140.605349,-574957.81685,,92.715486,431.476593,0.014935,-2.195736,0.23076923076923078,0.6445222573247994,-0.5618891422969878,-0.3598825093812611,1,1.0,0.739793,-0.846967,0.0001,80,"{""n"": 240, ""sl_atr"": 3.0}",3,reference_v1,REFERENCE_V1
trend_tsmom,False,A_trend,2014-01-02,2026-09-25,12.73,-0.187183,-0.016151,-0.191727,-0.276416,-0.279606,0.066675,-187183.342632,-0.615596,973,0.927729,0.341213,7146.143279,-3989.611348,1.791188,-189.949954,-0.033113,20,76.44402,142.0,61753.137608,-76335.489889,-46732.677924,,63.46674,90.388305,0.247447,-0.683777,0.5384615384615384,0.33739917195884267,-0.1614293028214433,-0.030711828945698794,2,1.0,0.872103,-0.296254,0.0138,80,"{""lookback"": 480, ""z_min"": 0.5}",3,reference_v1,REFERENCE_V1
